,Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
0,2021-01-04 09:19:00,31530.0,31900,3,BANKNIFTY07JAN2131900CE,154.6,82.75,2021-01-04 15:15:00,BANKNIFTY07JAN2131100PE,160.0,208.0,2021-01-04 10:48:00,23.849999999999994
1,2021-01-05 09:19:00,31077.65,31300,2,BANKNIFTY07JAN2131300CE,163.0,211.9,2021-01-05 09:29:00,BANKNIFTY07JAN2130700PE,158.9,40.9,2021-01-05 15:15:00,69.1
2,2021-01-06 09:19:00,31908.0,32000,1,BANKNIFTY07JAN2132000CE,148.8,193.44,2021-01-06 12:29:00,BANKNIFTY07JAN2131600PE,135.4,135.4,2021-01-06 13:48:00,-44.639999999999986
3,2021-01-07 09:19:00,32179.45,32100,0,BANKNIFTY07JAN2132100CE,123.45,0.5,2021-01-07 15:15:00,BANKNIFTY07JAN2132100PE,129.65,168.54500000000002,2021-01-07 10:06:00,84.05499999999999
4,2021-01-08 09:19:00,32243.7,32800,6,BANKNIFTY14JAN2132800CE,142.25,123.6,2021-01-08 15:15:00,BANKNIFTY14JAN2131600PE,150.25,195.325,2021-01-08 13:39:00,-26.424999999999983
5,2021-01-11 09:19:00,32133.0,32600,3,BANKNIFTY14JAN2132600CE,158.75,128.2,2021-01-11 15:15:00,BANKNIFTY14JAN2131500PE,144.0,187.2,2021-01-11 10:20:00,-12.649999999999977
6,2021-01-12 09:19:00,31848.6,32200,2,BANKNIFTY14JAN2132200CE,158.45,205.98499999999999,2021-01-12 09:40:00,BANKNIFTY14JAN2131400PE,157.75,43.95,2021-01-12 15:15:00,66.265
7,2021-01-13 09:19:00,32563.5,32700,1,BANKNIFTY14JAN2132700CE,129.75,168.675,2021-01-13 09:34:00,BANKNIFTY14JAN2132300PE,153.55,153.55,2021-01-13 10:35:00,-38.92500000000001
8,2021-01-14 09:19:00,32729.3,32600,0,BANKNIFTY14JAN2132600CE,137.1,178.23,2021-01-14 09:22:00,BANKNIFTY14JAN2132700PE,150.6,150.6,2021-01-14 09:29:00,-41.129999999999995
9,2021-01-15 09:19:00,32550.0,33200,6,BANKNIFTY21JAN2133200CE,151.6,104.0,2021-01-15 15:15:00,BANKNIFTY21JAN2131800PE,160.85,209.105,2021-01-15 09:35:00,-0.6550000000000011
10,2021-01-18 09:19:00,32390.9,33000,3,BANKNIFTY21JAN2133000CE,146.15,56.4,2021-01-18 15:15:00,BANKNIFTY21JAN2131600PE,155.0,201.5,2021-01-18 11:01:00,43.25
11,2021-01-19 09:19:00,32030.4,32500,2,BANKNIFTY21JAN2132500CE,146.95,191.03499999999997,2021-01-19 14:37:00,BANKNIFTY21JAN2131500PE,137.8,31.4,2021-01-19 15:15:00,62.315000000000026
12,2021-01-20 09:19:00,32462.75,32600,1,BANKNIFTY21JAN2132600CE,138.75,138.75,2021-01-20 09:43:00,BANKNIFTY21JAN2132300PE,159.45,207.28499999999997,2021-01-20 09:35:00,-47.83499999999998
13,2021-01-21 09:19:00,32743.5,32600,0,BANKNIFTY21JAN2132600CE,167.5,217.75,2021-01-21 12:24:00,BANKNIFTY21JAN2132800PE,163.85,163.85,2021-01-21 14:10:00,-50.25
14,2021-01-25 09:19:00,31536.0,32100,3,BANKNIFTY28JAN2132100CE,144.4,144.4,2021-01-25 10:30:00,BANKNIFTY28JAN2131000PE,153.45,199.48499999999999,2021-01-25 09:28:00,-46.035
15,2021-01-27 09:19:00,31127.05,31500,1,BANKNIFTY28JAN2131500CE,140.0,140.0,2021-01-27 09:27:00,BANKNIFTY28JAN2130800PE,156.35,203.255,2021-01-27 09:25:00,-46.905
16,2021-01-28 09:19:00,29872.0,30000,0,BANKNIFTY28JAN2130000CE,127.0,127.0,2021-01-28 09:27:00,BANKNIFTY28JAN2129700PE,135.5,176.15,2021-01-28 09:22:00,-40.650000000000006
17,2021-01-29 09:19:00,30683.55,32100,6,BANKNIFTY04FEB2132100CE,144.35,144.35,2021-01-29 10:47:00,BANKNIFTY04FEB2129000PE,148.3,192.79000000000002,2021-01-29 10:25:00,-44.49000000000001
18,2021-02-01 09:19:00,31015.6,32200,3,BANKNIFTY04FEB2132200CE,158.3,205.79000000000002,2021-02-01 11:00:00,BANKNIFTY04FEB2129300PE,154.8,20.4,2021-02-01 15:15:00,86.91
19,2021-02-02 09:19:00,34005.05,35000,2,BANKNIFTY04FEB2135000CE,142.25,184.925,2021-02-02 09:21:00,BANKNIFTY04FEB2133000PE,155.65,155.65,2021-02-02 10:26:00,-42.67500000000001
20,2021-02-03 09:19:00,34155.75,34800,1,BANKNIFTY04FEB2134800CE,146.7,190.70999999999998,2021-02-03 09:21:00,BANKNIFTY04FEB2133200PE,141.5,27.8,2021-02-03 15:15:00,69.69000000000001
21,2021-02-04 09:19:00,34555.0,34500,0,BANKNIFTY04FEB2134500CE,169.2,219.95999999999998,2021-02-04 09:20:00,BANKNIFTY04FEB2134300PE,156.95,156.95,2021-02-04 09:27:00,-50.75999999999999
22,2021-02-05 09:19:00,35917.6,37600,6,BANKNIFTY11FEB2137600CE,146.7,190.70999999999998,2021-02-05 09:26:00,BANKNIFTY11FEB2133900PE,147.5,147.5,2021-02-05 09:27:00,-44.00999999999999
23,2021-02-08 09:19:00,36355.5,37900,3,BANKNIFTY11FEB2137900CE,155.15,52.3,2021-02-08 15:15:00,BANKNIFTY11FEB2134700PE,144.9,107.95,2021-02-08 15:15:00,139.8
24,2021-02-09 09:19:00,35919.8,36800,2,BANKNIFTY11FEB2136800CE,142.25,184.925,2021-02-09 10:35:00,BANKNIFTY11FEB2134900PE,156.1,96.55,2021-02-09 15:15:00,16.874999999999986
25,2021-02-10 09:19:00,36175.35,36700,1,BANKNIFTY11FEB2136700CE,142.8,142.8,2021-02-10 09:36:00,BANKNIFTY11FEB2135500PE,152.7,198.51,2021-02-10 09:23:00,-45.81
26,2021-02-11 09:19:00,35796.5,35900,0,BANKNIFTY11FEB2135900CE,147.3,191.49,2021-02-11 09:20:00,BANKNIFTY11FEB2135600PE,164.8,164.8,2021-02-11 13:20:00,-44.19
27,2021-02-12 09:19:00,35910.0,37000,6,BANKNIFTY18FEB2137000CE,140.0,182.0,2021-02-12 11:00:00,BANKNIFTY18FEB2134700PE,158.05,104.2,2021-02-12 15:15:00,11.850000000000009
28,2021-02-16 09:19:00,37715.0,38600,2,BANKNIFTY18FEB2138600CE,157.85,36.75,2021-02-16 15:15:00,BANKNIFTY18FEB2136700PE,139.95,181.93499999999997,2021-02-16 09:52:00,79.11500000000001
29,2021-02-17 09:19:00,36987.0,37400,1,BANKNIFTY18FEB2137400CE,142.35,185.055,2021-02-17 09:26:00,BANKNIFTY18FEB2136500PE,158.95,158.95,2021-02-17 09:33:00,-42.70500000000001
30,2021-02-18 09:19:00,36993.75,37000,0,BANKNIFTY18FEB2137000CE,167.1,0.3,2021-02-18 15:15:00,BANKNIFTY18FEB2136900PE,166.15,215.995,2021-02-18 09:27:00,116.95499999999998
31,2021-02-19 09:19:00,36241.1,37400,6,BANKNIFTY25FEB2137400CE,144.8,188.24,2021-02-19 10:11:00,BANKNIFTY25FEB2134900PE,152.15,152.15,2021-02-19 14:05:00,-43.44
32,2021-02-22 09:19:00,35775.7,36700,3,BANKNIFTY25FEB2136700CE,141.0,183.3,2021-02-22 09:28:00,BANKNIFTY25FEB2134800PE,142.1,142.1,2021-02-22 09:58:00,-42.30000000000001
33,2021-02-23 09:19:00,35300.0,36000,2,BANKNIFTY25FEB2136000CE,158.5,206.05,2021-02-23 10:33:00,BANKNIFTY25FEB2134500PE,141.35,141.35,2021-02-23 11:42:00,-47.55000000000001
34,2021-02-25 09:19:00,37041.1,37300,0,BANKNIFTY25FEB2137300CE,162.25,210.925,2021-02-25 09:21:00,BANKNIFTY25FEB2136700PE,135.05,135.05,2021-02-25 11:37:00,-48.67500000000001
35,2021-02-26 09:19:00,35578.6,37200,6,BANKNIFTY04MAR2137200CE,145.8,80.5,2021-02-26 15:15:00,BANKNIFTY04MAR2133400PE,149.0,193.7,2021-02-26 11:06:00,20.600000000000023
36,2021-03-01 09:19:00,35271.05,36600,3,BANKNIFTY04MAR2136600CE,154.25,154.25,2021-03-01 09:39:00,BANKNIFTY04MAR2133700PE,145.65,189.345,2021-03-01 09:32:00,-43.69499999999999
37,2021-03-02 09:19:00,35571.8,36400,2,BANKNIFTY04MAR2136400CE,155.0,101.7,2021-03-02 15:15:00,BANKNIFTY04MAR2134600PE,153.95,200.135,2021-03-02 11:07:00,7.114999999999995
38,2021-03-03 09:19:00,35780.6,36200,1,BANKNIFTY04MAR2136200CE,149.1,193.82999999999998,2021-03-03 10:16:00,BANKNIFTY04MAR2135300PE,143.9,31.65,2021-03-03 15:15:00,67.52000000000001
39,2021-03-04 09:19:00,35749.55,35800,0,BANKNIFTY04MAR2135800CE,151.8,197.34,2021-03-04 09:22:00,BANKNIFTY04MAR2135500PE,149.05,149.05,2021-03-04 09:30:00,-45.53999999999999
40,2021-03-12 09:19:00,36461.6,37600,6,BANKNIFTY18MAR2137600CE,157.2,57.45,2021-03-12 15:15:00,BANKNIFTY18MAR2135200PE,155.05,201.565,2021-03-12 12:14:00,53.235
41,2021-03-15 09:19:00,35307.0,36500,3,BANKNIFTY18MAR2136500CE,141.8,99.0,2021-03-15 15:15:00,BANKNIFTY18MAR2134100PE,150.65,195.845,2021-03-15 09:21:00,-2.394999999999982
42,2021-03-16 09:19:00,35180.0,36000,2,BANKNIFTY18MAR2136000CE,140.25,75.7,2021-03-16 15:15:00,BANKNIFTY18MAR2134300PE,146.2,190.05999999999997,2021-03-16 13:30:00,20.690000000000012
43,2021-03-17 09:19:00,34744.0,35300,1,BANKNIFTY18MAR2135300CE,150.85,196.105,2021-03-17 11:25:00,BANKNIFTY18MAR2134100PE,149.45,149.45,2021-03-17 15:05:00,-45.254999999999995
